iter	Passed	Remaining
976	53080	1249
977	53133	1195
978	53188	1140
979	53246	1086
980	53300	1032
981	53357	978
982	53410	923
983	53466	869
984	53514	814
985	53564	760
986	53611	706
987	53656	651
988	53702	597
989	53748	542
990	53795	488
991	53843	434
992	53891	379
993	53939	325
994	53988	271
995	54036	217
996	54085	162
997	54135	108
998	54185	54
999	54235	0
